"","State.Code.of.the.Provider","providers","benificiaries","male_benif","female_benif","payment","male_prov","female_pro"
"1","AA",12,4153,1629,2491,291334.73,10,2
"2","AE",53,11055,4655,6293,1530641.46,29,24
"3","AK",2584,499773,212595,277712,111557950.41,1320,1264
"4","AL",13838,5584495,2331950,3212654,1474486074.77,8259,5579
"5","AP",39,8994,3604,5227,1436564.1,29,10
"6","AR",8396,3703444,1524106,2149066,950912734.18,5031,3365
"7","AS",3,365,138,200,64727.71,1,2
"8","AZ",20004,6651890,2955554,3626579,1997339877.22,11663,8341
"9","CA",83495,25309825,10740357,14240800,7571384063.3,51498,31997
"10","CO",17019,4474339,1924452,2490348,1042001553.06,9024,7995
"11","CT",15478,4856271,2004748,2794222,1048586450.93,7906,7572
"12","DC",3505,1040381,422709,601786,206531355.75,1734,1771
"13","DE",3742,1598286,669423,917321,373459354.56,1860,1882
"14","FL",62401,25487681,11053415,14245637,7808414032.76,37442,24959
"15","GA",27114,9688206,4077070,5524815,2363871070.58,15214,11900
"16","GU",186,38211,16052,21925,12980417.71,125,61
"17","HI",3556,781977,339094,426966,178234607.13,2153,1403
"18","IA",10763,3583042,1493767,2059448,807504746.8,5934,4829
"19","ID",5159,1359001,583410,760723,262027589.77,3347,1812
"20","IL",42314,14499974,6028559,8308848,3422067065.25,22443,19871
"21","IN",20702,7898566,3267326,4578706,1753780793.24,11363,9339
"22","KS",10238,3534713,1484701,2023428,871301060.17,5373,4865
"23","KY",15287,5586576,2343272,3198334,1173663627.13,8088,7199
"24","LA",14187,4947297,2073199,2835089,1159378590.13,8516,5671
"25","MA",32881,10242420,4320837,5761532,1903953186.34,15805,17076
"26","MD",21574,7838785,3197721,4567221,2099557980.6,10944,10630
"27","ME",6250,1702160,713693,961361,311400829.08,3094,3156
"28","MI",37771,12252301,5121186,7006557,2674850971.29,20896,16875
"29","MN",23944,4310217,1878206,2344284,797927360.9,11993,11951
"30","MO",20506,7300417,3074489,4143580,1579772562.98,11336,9170
"31","MP",29,2980,1396,1503,761207.71,23,6
"32","MS",8161,3884211,1590957,2273257,882414908.02,4682,3479
"33","MT",4019,1070985,470250,588705,213795377.61,2189,1830
"34","NC",34345,12293069,5111338,7070615,2756538590.92,18023,16322
"35","ND",3370,906715,384088,511541,167133234.47,1753,1617
"36","NE",7296,2420233,1015037,1383449,595614543.95,3947,3349
"37","NH",6029,1953145,821143,1114958,337643986.98,2964,3065
"38","NJ",30913,11484368,4727064,6615356,3178596987,17421,13492
"39","NM",5962,1565704,662964,884249,347589241.07,3221,2741
"40","NV",6847,2530385,1108966,1403745,766889067.99,4392,2455
"41","NY",73166,21047269,8779030,11899818,5500042787.45,41010,32156
"42","OH",40948,13229693,5675637,7421556,2671931668.17,22531,18417
"43","OK",11206,4376958,1799914,2542045,1042601120.17,6671,4535
"44","OR",13050,2918003,1257159,1609823,693221913.06,7118,5932
"45","PA",52033,16207236,6914282,9117789,3503428287.77,29016,23017
"46","PR",4667,421626,158522,232935,109243995.7,3312,1355
"47","RI",4519,1223740,503579,697676,235595891.26,2356,2163
"48","SC",14858,6340179,2680844,3623636,1578590571.18,8359,6499
"49","SD",3707,1052901,436910,604773,202697201.76,2034,1673
"50","TN",23471,8793702,3709654,5008725,2155292557.1,12834,10637
"51","TX",64500,21498820,9099116,12164770,6187928988.01,37988,26512
"52","UT",7486,1838040,804627,1011925,470510243.42,5410,2076
"53","VA",24799,9992665,4153885,5747516,2343645883.89,13111,11688
"54","VI",146,46557,19997,26309,9488005.62,76,70
"55","VT",2825,764463,323716,428360,122087047.84,1366,1459
"56","WA",24699,6453602,2757449,3592881,1447153202.21,13548,11151
"57","WI",22294,5876770,2482104,3308178,1066048131.48,11817,10477
"58","WV",6523,2379277,998668,1366604,451708326.24,3667,2856
"59","WY",1853,497216,209159,283736,110019586.32,1044,809
"60","XX",14,2944,1245,1677,798656.29,5,9
"61","ZZ",88,20898,8995,11707,2894191.2,62,26
